url,Listing_Count,Max_Pages,oversized
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=15700&prMx=15724,902.0,10.0,False
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=15950&prMx=15974,1000.0,19.0,False
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=16200&prMx=16224,903.0,10.0,False
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=16450&prMx=16474,1000.0,11.0,False
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=16700&prMx=16724,1000.0,14.0,False
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=16950&prMx=16974,2000.0,25.0,False
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=17200&prMx=17224,1000.0,11.0,False
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=17450&prMx=17474,,,False
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=17700&prMx=17724,,,False
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=17950&prMx=17974,2000.0,26.0,False
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=18200&prMx=18224,1000.0,14.0,False
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=18450&prMx=18474,1000.0,14.0,False
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=18700&prMx=18724,1000.0,16.0,False
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=18950&prMx=18974,2000.0,28.0,False
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=19200&prMx=19224,1000.0,15.0,False
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=19450&prMx=19474,1000.0,16.0,False
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=19700&prMx=19724,1000.0,15.0,False
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=19950&prMx=19974,2000.0,27.0,False
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=20200&prMx=20224,1000.0,15.0,False
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=20450&prMx=20474,1000.0,15.0,False
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=20700&prMx=20724,1000.0,16.0,False
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=20950&prMx=20974,2000.0,21.0,False
https://www.cars.com/for-sale/searchresults.action/?page=1&perPage=100&searchSource=GN_REFINEMENT&sort=relevance&zc=85281&rd=9999&prMn=21200&prMx=21224,1000.0,16.0,False
