url,min,max,Listing_Count,Max_Pages
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=6990&list_price_max=6994,6990,6994.0,750.0,4.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=6995&list_price_max=6999,6995,6999.0,4038.0,17.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=7000&list_price_max=7049,7000,7049.0,461.0,2.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=7050&list_price_max=7099,7050,7099.0,52.0,1.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=7100&list_price_max=7149,7100,7149.0,69.0,1.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=7150&list_price_max=7199,7150,7199.0,160.0,1.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=7200&list_price_max=7224,7200,7224.0,123.0,1.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=7225&list_price_max=7249,7225,7249.0,49.0,1.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=7250&list_price_max=7299,7250,7299.0,310.0,2.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=7300&list_price_max=7349,7300,7349.0,142.0,1.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=7350&list_price_max=7399,7350,7399.0,223.0,1.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=7400&list_price_max=7449,7400,7449.0,229.0,1.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=7450&list_price_max=7474,7450,7474.0,166.0,1.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=7475&list_price_max=7489,7475,7489.0,209.0,1.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=7490&list_price_max=7499,7490,7499.0,1217.0,5.0
