zipcode,cbsa,radius,URL_end,Listing_Count,Max_Pages,random
79081,99999.0,19.0,&rd=19&zc=79081,21,1,0.006118727939034452
44618,49300.0,7.0,&rd=7&zc=44618,452,5,0.006258227736393729
84782,41100.0,26.0,&rd=26&zc=84782,1645,17,0.0063069591670357195
33993,15980.0,7.0,&rd=7&zc=33993,1356,14,0.006339124343572755
19472,37980.0,4.0,&rd=4&zc=19472,241,3,0.006352542598818678
86303,39150.0,12.0,&rd=12&zc=86303,1048,11,0.006428137865927885
78005,37770.0,12.0,&rd=12&zc=78005,412,5,0.006638459131191543
64078,28140.0,7.0,&rd=7&zc=64078,992,10,0.006665558473152533
44032,11780.0,7.0,&rd=7&zc=44032,78,1,0.006702914874707644
80914,17820.0,2.0,&rd=2&zc=80914,238,3,0.006962334212210597
21213,12580.0,2.0,&rd=2&zc=21213,70,1,0.007041996079749535
84648,39340.0,27.0,&rd=27&zc=84648,21,1,0.0070545412589135825
21502,19060.0,9.0,&rd=9&zc=21502,241,3,0.007145093936019142
47150,31140.0,9.0,&rd=9&zc=47150,3106,32,0.007199750350981415
17754,48700.0,7.0,&rd=7&zc=17754,979,10,0.007404453921098897
50211,19780.0,8.0,&rd=8&zc=50211,124,2,0.007455320004549071
85339,38060.0,9.0,&rd=9&zc=85339,2251,23,0.0075293646266999525
73458,11620.0,12.0,&rd=12&zc=73458,528,6,0.007633967419181875
28360,31300.0,8.0,&rd=8&zc=28360,424,5,0.0076988173652557945
61036,99999.0,10.0,&rd=10&zc=61036,1,1,0.007898190045000808
48183,19820.0,4.0,&rd=4&zc=48183,2467,25,0.007910508180035691
89178,29820.0,23.0,&rd=23&zc=89178&clrId=27134,3748,38,0.008040914837883384
30439,99999.0,12.0,&rd=12&zc=30439,222,3,0.008105174266101356
36502,12120.0,15.0,&rd=15&zc=36502,114,2,0.008118687222055887
92243,20940.0,24.0,&rd=24&zc=92243,567,6,0.00812672219740962
2898,39300.0,4.0,&rd=4&zc=02898,10,1,0.008143779160413422
77807,17780.0,10.0,&rd=10&zc=77807,596,6,0.00820091313992477
6437,35300.0,9.0,&rd=9&zc=06437,1330,14,0.008274193303561383
33470,33100.0,14.0,&rd=14&zc=33470&clrId=27134,1932,20,0.008366735508010259
33480,33100.0,7.0,&rd=7&zc=33480&clrId=27122%2C27125%2C27126%2C27128%2C27129%2C29637%2C27131%2C27132%2C27135,1037,11,0.008378514845565177
15010,38300.0,8.0,&rd=8&zc=15010,335,4,0.00863001504445604
53578,12660.0,9.0,&rd=9&zc=53578,481,5,0.008678858110359622
16801,44300.0,8.0,&rd=8&zc=16801,909,10,0.008720073676695028
56201,48820.0,12.0,&rd=12&zc=56201,515,6,0.008753598447353572
7842,35620.0,7.0,&rd=7&zc=07842,1888,19,0.008769532874741692
55437,33460.0,4.0,&rd=4&zc=55437,4700,47,0.008786886293150942
96741,28180.0,13.0,&rd=13&zc=96741,2,1,0.008846000275889887
7846,10900.0,10.0,&rd=10&zc=07846,1334,14,0.008887334635572341
65265,33020.0,12.0,&rd=12&zc=65265,32,1,0.008906785053730437
79847,99999.0,54.0,&rd=54&zc=79847,93,1,0.008912356342836159
24089,32300.0,3.0,&rd=3&zc=24089,368,4,0.008936900491354982
18403,42540.0,4.0,&rd=4&zc=18403,62,1,0.00897251272377908
68106,36540.0,2.0,&rd=2&zc=68106,240,3,0.008991745849678212
8225,12100.0,2.0,&rd=2&zc=08225,521,6,0.009002370158003092
13732,13780.0,5.0,&rd=5&zc=13732,72,1,0.009050731959453273
15902,27780.0,3.0,&rd=3&zc=15902,634,7,0.009053587504434524
19004,37980.0,2.0,&rd=2&zc=19004,206,3,0.009236322487707449
47001,17140.0,9.0,&rd=9&zc=47001,683,7,0.009249196334323306
13135,45060.0,6.0,&rd=6&zc=13135,515,6,0.009337885134166335
7083,35620.0,3.0,&rd=3&zc=07083,4092,41,0.009405656242532756
36330,21460.0,12.0,&rd=12&zc=36330,113,2,0.009514314213916797
65713,44180.0,9.0,&rd=9&zc=65713,721,8,0.009633268851941268
72364,32820.0,7.0,&rd=7&zc=72364,172,2,0.010089681890798508
17824,44980.0,7.0,&rd=7&zc=17824,334,4,0.010092555562213668
11209,35620.0,1.0,&rd=1&zc=11209,334,4,0.010356349890912941
29301,43900.0,5.0,&rd=5&zc=29301,1675,17,0.01049001953477191
49078,26090.0,8.0,&rd=8&zc=49078,676,7,0.010612361518801183
62521,19500.0,10.0,&rd=10&zc=62521,764,8,0.010675343146250627
75965,34860.0,10.0,&rd=10&zc=75965,264,3,0.010744653873389298
43207,18140.0,5.0,&rd=5&zc=43207,3035,31,0.010752926791754325
74146,46140.0,2.0,&rd=2&zc=74146,357,4,0.010763879742073379
46214,26900.0,3.0,&rd=3&zc=46214,132,2,0.010787717383899054
3054,31700.0,6.0,&rd=6&zc=03054,998,10,0.010804590662052527
61061,40300.0,11.0,&rd=11&zc=61061,161,2,0.010828134683968482
64014,28140.0,4.0,&rd=4&zc=64014,704,8,0.010844671731307431
57701,39660.0,10.0,&rd=10&zc=57701,326,4,0.010893637748570106
45247,17140.0,4.0,&rd=4&zc=45247,1553,16,0.010899403126902407
3216,18180.0,7.0,&rd=7&zc=03216,100,1,0.01114830376007292
16046,38300.0,5.0,&rd=5&zc=16046,382,4,0.011173774043612972
60585,16980.0,4.0,&rd=4&zc=60585,30,1,0.011223192404591131
85256,38060.0,8.0,&rd=8&zc=85256&clrId=27124,643,7,0.011257165799768876
11516,35620.0,1.0,&rd=1&zc=11516,500,5,0.011269889358277996
13365,46540.0,18.0,&rd=18&zc=13365,362,4,0.01131066291935956
92203,40140.0,8.0,&rd=8&zc=92203,587,6,0.011372755545474567
13501,46540.0,4.0,&rd=4&zc=13501,612,7,0.011387224944482965
75462,37580.0,21.0,&rd=21&zc=75462,377,4,0.011420041832536088
